Filename,a,b
012441-740210.png,7.04,6.2
013036-740204.png,7.58,6.26
012722-740205.png,7.13,6.5
012956-740155.png,7.17,7.07
012934-740156.png,6.95,6.07
012839-740154.png,6.75,6.02
012829-740138.png,6.53,6.22
012526-740124.png,6.88,6.57
013409-740055.png,7.15,7.01
012329-740056.png,6.68,6.13
013125-740037.png,6.66,6.02
013123-740045.png,6.73,6.39
013120-740052.png,6.59,6.0
012151-740000.png,7.14,7.05
012149-740010.png,6.66,6.31
012153-740025.png,7.96,7.72
013214-740037.png,7.04,6.11
012250-740018.png,6.74,6.18
012739-740028.png,8.46,6.56
012612-740024.png,9.46,8.64
012553-740013.png,6.66,5.79
012549-740007.png,7.17,6.7
012351-740009.png,7.32,6.46
012853-740013.png,6.73,6.24
012255-735954.png,6.68,6.5
013148-735958.png,7.01,6.04
013351-735935.png,6.57,6.14
012918-735944.png,9.31,6.23
013423-735913.png,6.52,6.13
012712-735905.png,7.59,5.86
012559-735900.png,6.63,6.05
012557-735849.png,11.92,8.43
012030-735814.png,6.68,6.06
012053-735800.png,7.15,5.94
013338-735806.png,6.57,5.99
012228-735807.png,6.56,5.99
013304-735753.png,6.94,6.12
012357-735743.png,6.63,6.1
012717-735749.png,6.49,6.24
013410-735717.png,6.59,6.41
013202-735726.png,6.59,6.49
012037-735648.png,6.58,6.29
012305-735705.png,8.48,6.18
012824-735715.png,6.78,5.92
012926-735713.png,6.47,6.37
012556-735700.png,8.4,7.0
013012-735701.png,6.97,6.15
013051-735648.png,6.43,6.2
012536-735632.png,6.47,6.12
012533-735643.png,6.75,6.07
012238-735624.png,7.82,7.71
012136-735611.png,6.43,6.21
013009-735618.png,6.75,6.02
012323-735607.png,6.45,6.16
012206-735602.png,7.13,6.61
012119-735552.png,6.66,6.12
012135-735549.png,9.34,7.7
013044-735559.png,18.73,10.45
012247-735544.png,7.31,6.71
012643-735553.png,7.64,6.63
013253-735543.png,6.58,6.02
013132-735547.png,6.69,5.97
012252-735538.png,7.04,6.15
012038-735522.png,7.3,6.11
012910-735541.png,7.22,6.19
012706-735535.png,6.94,6.06
013346-735501.png,6.67,6.05
013047-735441.png,6.57,6.06
011857-735404.png,7.18,6.2
013110-735427.png,6.95,6.62
013516-735407.png,7.19,6.85
012559-735421.png,7.01,6.6
012601-735413.png,8.24,6.9
012958-735416.png,7.22,6.1
012546-735421.png,6.56,6.15
012755-735420.png,6.72,6.7
013033-735409.png,6.76,6.0
012258-735400.png,6.6,6.07
012300-735347.png,6.57,6.17
012229-735335.png,6.5,6.08
013606-735257.png,6.7,6.59
012444-735324.png,6.57,6.19
012525-735329.png,6.57,6.11
012922-735312.png,6.58,5.95
012652-735256.png,7.03,6.42
012651-735303.png,8.7,7.64
013404-735245.png,7.06,6.72
013136-735244.png,6.71,6.3
013350-735227.png,7.04,6.69
012242-735230.png,6.6,5.83
013509-735212.png,6.64,6.46
